name,functional_group,Label
Acanthastrea,hard_coral,Acan
Acanthastrea_echinata,hard_coral,AcEch
Acanthastrea_hemphrichii,hard_coral,AcHem
Acanthastrea_maxima,hard_coral,AcMax
Acervicornis,hard_coral,ACER
Acropora,hard_coral,Acrop
Acropora_arabensis,hard_coral,AcArab
Acropora_arborescent_table,hard_coral,AcArbTab
Acropora_Arborsecent,hard_coral,AcArb
Acropora_branching,hard_coral,Acro-Br
Acropora_caespitose,hard_coral,AcroCasp
Acropora_cervicornis,hard_coral,ACRC
Acropora_clathrata,hard_coral,AcClath
Acropora_Club_Shaped,hard_coral,AcClub
Acropora:_corymbose,hard_coral,AcCor
Acropora_corymbose_small,hard_coral,acr_cor
Acropora_corymbose/tabular/plate,hard_coral,BRA_TAB-Ac
Acropora_corymbose/tabular/plate_Bleached,hard_coral,BRA_TAB-B*
Acropora_digitate,hard_coral,AcDig
"Acropora_digitate,_branches_resembling_finger",hard_coral,BRA_DIG_Ac
Acropora_digitate/finger-like_Bleached,hard_coral,BRA_DIG_B*
Acropora_divaricata,hard_coral,AcDiv
Acropora_downingi,hard_coral,AcDown
Acropora_echinata1,hard_coral,AE1
Acropora_echinata2,hard_coral,AE2
Acropora_elseyi,hard_coral,AcEls
Acropora_encrusting,hard_coral,AcEnc
Acropora_florida,hard_coral,ACflo
Acropora_formosa,hard_coral,ACfor
Acropora_formosa_(muricata)_group,hard_coral,Acr_f_m_gr
Acropora_gemmifera,hard_coral,AcGem
Acropora_Hispidose,hard_coral,AcHisp
Acropora_humilis,hard_coral,AChum
Acropora_humilis_group,hard_coral,Acr_hum_gr
Acropora_hyacinthus,hard_coral,AChia
Acropora_hyacinthus_group,hard_coral,Acr_hya_gr
Acropora_loripes,hard_coral,AcIor
Acropora_millepora,hard_coral,ACmill
Acropora_monticulosa,hard_coral,AcMon
Acropora_muricata,hard_coral,AcMur
Acropora_nasuta,hard_coral,AcNas
Acropora_palmata,hard_coral,ACRP
Acropora_pharaonis,hard_coral,AcPhar
Acropora_Plating,hard_coral,AcPlat
Acropora_prolifera,hard_coral,ACRPRO
Acropora_robusta_group,hard_coral,Acr_rob_gr
Acropora_samoensis,hard_coral,AcSam
Acropora_secale,hard_coral,AcSec
Acropora_sp.,hard_coral,Acr_spe
Acropora_Sp1.,hard_coral,ASp1
Acropora_Sp2,hard_coral,ASp2
Acropora_Sp3,hard_coral,ASp3
Acropora_spathulata,hard_coral,AcSpa
Acropora_squarrosa,hard_coral,AcrSq
Acropora_subgenus_Isopora,hard_coral,Acr_Iso
Acropora_Submassive,hard_coral,AcroSub
Acropora_Tabulate,hard_coral,AcroTab
Acropora_tortuosa,hard_coral,AcTort
Acropora_Valida,hard_coral,AcrVal
Acroporidae_branching,hard_coral,ACR-BRA
Acroporidae_branching_bleached_(white),hard_coral,ACR-BRA-B*
Acroporidae_hispidose,hard_coral,ACR-HIP
Acroporidae_hispidose_bleached,hard_coral,ACR-HIP-B*
Acroporidae_Other,hard_coral,ACR-OTH
